       TIME	  CAN_ID	CAN_DATA                                	  1	  2	   3	   4
1.58187e+09	     100	[42, 0, 14, 0, 179, 255, 254, 255]      	 42	 14	 -77	  -2
1.58187e+09	     101	[231, 255, 244, 255, 17, 0, 180, 255]   	-25	-12	  17	 -76
1.58187e+09	     100	[38, 0, 33, 0, 181, 255, 3, 0]          	 38	 33	 -75	   3
1.58187e+09	     101	[227, 255, 250, 255, 17, 0, 189, 255]   	-29	 -6	  17	 -67
1.58187e+09	     100	[34, 0, 45, 0, 181, 255, 15, 0]         	 34	 45	 -75	  15
1.58187e+09	     101	[221, 255, 0, 0, 23, 0, 205, 255]       	-35	  0	  23	 -51
1.58187e+09	     100	[33, 0, 52, 0, 183, 255, 31, 0]         	 33	 52	 -73	  31
1.58187e+09	     101	[214, 255, 6, 0, 30, 0, 224, 255]       	-42	  6	  30	 -32
1.58187e+09	     100	[34, 0, 50, 0, 183, 255, 44, 0]         	 34	 50	 -73	  44
1.58187e+09	     101	[210, 255, 13, 0, 38, 0, 237, 255]      	-46	 13	  38	 -19
1.58187e+09	     100	[34, 0, 40, 0, 183, 255, 52, 0]         	 34	 40	 -73	  52
1.58187e+09	     101	[207, 255, 18, 0, 43, 0, 247, 255]      	-49	 18	  43	  -9
1.58187e+09	     100	[37, 0, 29, 0, 179, 255, 56, 0]         	 37	 29	 -77	  56
1.58187e+09	     101	[211, 255, 20, 0, 46, 0, 250, 255]      	-45	 20	  46	  -6
1.58187e+09	     100	[37, 0, 18, 0, 178, 255, 55, 0]         	 37	 18	 -78	  55
1.58187e+09	     101	[217, 255, 14, 0, 47, 0, 246, 255]      	-39	 14	  47	 -10
1.58187e+09	     100	[33, 0, 12, 0, 176, 255, 50, 0]         	 33	 12	 -80	  50
1.58187e+09	     101	[223, 255, 10, 0, 45, 0, 238, 255]      	-33	 10	  45	 -18
1.58187e+09	     100	[30, 0, 10, 0, 176, 255, 46, 0]         	 30	 10	 -80	  46
1.58187e+09	     101	[229, 255, 2, 0, 41, 0, 224, 255]       	-27	  2	  41	 -32
1.58187e+09	     100	[29, 0, 16, 0, 178, 255, 42, 0]         	 29	 16	 -78	  42
1.58187e+09	     101	[231, 255, 254, 255, 39, 0, 212, 255]   	-25	 -2	  39	 -44
1.58187e+09	     100	[26, 0, 20, 0, 182, 255, 35, 0]         	 26	 20	 -74	  35
1.58187e+09	     101	[229, 255, 251, 255, 33, 0, 198, 255]   	-27	 -5	  33	 -58
1.58187e+09	     100	[26, 0, 25, 0, 183, 255, 31, 0]         	 26	 25	 -73	  31
1.58187e+09	     101	[221, 255, 252, 255, 27, 0, 188, 255]   	-35	 -4	  27	 -68
1.58187e+09	     100	[30, 0, 26, 0, 185, 255, 26, 0]         	 30	 26	 -71	  26
1.58187e+09	     101	[209, 255, 252, 255, 21, 0, 180, 255]   	-47	 -4	  21	 -76
1.58187e+09	     100	[33, 0, 21, 0, 181, 255, 21, 0]         	 33	 21	 -75	  21
1.58187e+09	     101	[202, 255, 0, 0, 14, 0, 175, 255]       	-54	  0	  14	 -81
1.58187e+09	     100	[37, 0, 14, 0, 170, 255, 13, 0]         	 37	 14	 -86	  13
1.58187e+09	     101	[196, 255, 255, 255, 10, 0, 173, 255]   	-60	 -1	  10	 -83
1.58187e+09	     100	[38, 0, 5, 0, 159, 255, 3, 0]           	 38	  5	 -97	   3
1.58187e+09	     101	[196, 255, 0, 0, 7, 0, 176, 255]        	-60	  0	   7	 -80
1.58187e+09	     100	[37, 0, 0, 0, 144, 255, 0, 0]           	 37	  0	-112	   0
1.58187e+09	     101	[200, 255, 255, 255, 5, 0, 180, 255]    	-56	 -1	   5	 -76
1.58187e+09	     100	[34, 0, 254, 255, 130, 255, 0, 0]       	 34	 -2	-126	   0
1.58187e+09	     101	[206, 255, 252, 255, 13, 0, 189, 255]   	-50	 -4	  13	 -67
